"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28"
"K11";"01";"";"1289817";"";"";"";"";"1289817";"";"20001228";"CH120006419025";"HF";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1484663";"";"";"";"";"";"";"19991001";"CH120006340572";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1034813";"";"";"";"";"1034813";"";"20000103";"CH120006347083";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1116649";"";"";"";"";"1116649";"";"19991119";"CH120006425446";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1411027";"";"";"";"";"1411027";"";"20000727";"CH120006393851";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1330083";"";"";"";"";"";"";"19991001";"CH120006491106";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1749342";"";"";"";"";"1749342";"";"20000705";"CH120006375147";"SI";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1767759";"";"";"";"";"1767759";"";"20000307";"CH120006407503";"FT";"2";"";"";"";"";"";"";"";"40";"";"";"";"";"";"0"
"K11";"01";"";"1599008";"";"";"";"";"";"";"19940420";"CH120006404465";"BR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1164725";"";"";"";"";"1164725";"";"20010201";"CH120006406711";"KR";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"K11";"01";"";"1672947";"";"";"";"";"1289817";"";"20000228";"CH120006418745";"FT";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
